bay_id,lat,lon,has_restriction_data
17711,-37.82017773180296,144.93938718972916,True
65535,-37.813170587704754,144.95921681680875,True
65198,-37.810792976254675,144.96769134576766,True
65197,-37.81077384126779,144.96775627359773,True
65185,-37.81052468652243,144.96860215952597,True
65542,-37.81323171223683,144.9590075483389,True
65545,-37.81327695104594,144.95885266405645,True
65536,-37.81317933967216,144.95918685368446,True
65566,-37.81348273202524,144.95814742513443,True
65549,-37.813311556984594,144.95873418423957,True
65574,-37.813551896789136,144.95791062049295,True
65562,-37.813447522749726,144.9582679741734,True
65558,-37.81341256173804,144.95838767338887,True
65548,-37.81330288381933,144.95876387835244,True
65573,-37.81354328723129,144.95794009834714,True
65529,-37.813101635744424,144.95945362744533,True
65532,-37.813144333027964,144.95930670384632,True
65576,-37.813569547637705,144.9578501880945,True
65564,-37.81346533795393,144.95820697965536,True
65570,-37.813517379359894,144.95802880213256,True
65543,-37.81324046414947,144.95897758460092,True
65550,-37.813320247143366,144.9587044311516,True
65199,-37.8108123453408,144.9676255895189,True
65182,-37.810468180173274,144.96879411251172,True
65193,-37.810698084550886,144.96801337873,True
65134,-37.810298271624305,144.96903463838794,True
65067,-37.80992492778876,144.9703092236904,True
65098,-37.81006651045614,144.97016789080607,True
65087,-37.809811799125995,144.97103987130538,True
65093,-37.80994954406519,144.97056706681252,True
65061,-37.80983613304747,144.97061254265424,True
65056,-37.80978257026817,144.97079623261197,True
65052,-37.80972376415039,144.97099638310678,True
65051,-37.80968431334239,144.9711311431266,True
65044,-37.80961790613839,144.97135797972985,True
65039,-37.809558543884236,144.97156074978867,True
65016,-37.80957211737984,144.97117794858474,True
65092,-37.8099307042784,144.97063156433674,True
65091,-37.809912035820574,144.97069548972638,True
65163,-37.810585009767664,144.96805719749062,True
65167,-37.810643554488905,144.96786024613817,True
65158,-37.81054311127097,144.9682004446135,True
65168,-37.81065243137996,144.96782988802386,True
65156,-37.810515062964136,144.96829537364198,True
65131,-37.81027225794166,144.96912396834176,True
65553,-37.81334840559413,144.95860802442525,True
65547,-37.81329424297533,144.9587934619512,True
54034,-37.817412610968425,144.96180813720161,True
51155,-37.81134635817739,144.97014285911234,True
65640,-37.81386416889971,144.95680273045394,True
65650,-37.8139898552813,144.95635971721026,True
65641,-37.813872406023464,144.95677300369044,True
65655,-37.8140288456458,144.95622318672991,True
65663,-37.81421830513031,144.95556010864127,True
65671,-37.814284589557076,144.95532799093056,True
61928,-37.815164498515514,144.96738537228407,True
61844,-37.814641173654124,144.96973279671252,True
61843,-37.81462230642892,144.969796640633,True
56529,-37.81645884824586,144.95723003303436,True
65569,-37.81350864172105,144.95805871741527,True
56528,-37.81651024755264,144.95725315959675,True
56533,-37.81624882246447,144.9571346838723,True
56531,-37.81635471704237,144.957182692618,True
62341,-37.81790814251109,144.95848959042416,True
62315,-37.81780450336542,144.95828438269166,True
62316,-37.81782284292312,144.9582202846961,True
62317,-37.81784301093078,144.9581499820841,True
62329,-37.81811771178083,144.95719055879238,True
