bay_id,slot_num,lat,lon,status,typedesc,fromday,today,starttime,endtime,duration_mins,disabilityext_mins,plain_english,is_active_now,is_strict,rule_category
10722,2.0,-37.8043469371667,144.95101886482954,Absent,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
10722,3.0,-37.8043469371667,144.95101886482954,Absent,1P,6,6,07:30,12:30,60,,Park for up to 1 hour. No payment required.,False,False,timed
10722,4.0,-37.8043469371667,144.95101886482954,Absent,1P,1,5,07:30,18:30,60,,Park for up to 1 hour. No payment required.,False,False,timed
10722,5.0,-37.8043469371667,144.95101886482954,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
10722,6.0,-37.8043469371667,144.95101886482954,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
10728,1.0,-37.804668600290526,144.95096207810545,Present,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
10728,2.0,-37.804668600290526,144.95096207810545,Present,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
10728,3.0,-37.804668600290526,144.95096207810545,Present,1P,6,6,07:30,12:30,60,,Park for up to 1 hour. No payment required.,False,False,timed
10728,4.0,-37.804668600290526,144.95096207810545,Present,1P,1,5,07:30,18:30,60,,Park for up to 1 hour. No payment required.,False,False,timed
10728,5.0,-37.804668600290526,144.95096207810545,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
10728,6.0,-37.804668600290526,144.95096207810545,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
10729,1.0,-37.80471780523308,144.9509534359205,Present,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
10729,2.0,-37.80471780523308,144.9509534359205,Present,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
10729,3.0,-37.80471780523308,144.9509534359205,Present,1P,6,6,07:30,12:30,60,,Park for up to 1 hour. No payment required.,False,False,timed
10729,4.0,-37.80471780523308,144.9509534359205,Present,1P,1,5,07:30,18:30,60,,Park for up to 1 hour. No payment required.,False,False,timed
10729,5.0,-37.80471780523308,144.9509534359205,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
10729,6.0,-37.80471780523308,144.9509534359205,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
