name,description,lat,lng
Victoria Parade between Eades Street and Lansdowne Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8088691<br>Longitude: 144.9797229<br>Latitude: -37.8088691<br>Longitude: 144.9797229<br>﻿UsageType: Disable Parking,-37.808869,144.979723
Victoria Parade between Clarendon Street and Eades Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8090858<br>Longitude: 144.9816723<br>Latitude: -37.8090858<br>Longitude: 144.9816723<br>﻿UsageType: Disable Parking,-37.809086,144.981672
Vegemite Way between Salmon Street and Douglas Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8275549<br>Longitude: 144.9235163<br>Latitude: -37.8275549<br>Longitude: 144.9235163<br>﻿UsageType: Disable Parking,-37.827555,144.923516
Vegemite Way between Salmon Street and Douglas Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8275465<br>Longitude: 144.9235589<br>Latitude: -37.8275465<br>Longitude: 144.9235589<br>﻿UsageType: Disable Parking,-37.827546,144.923559
Vale Street South between Punt Road and Vale Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.819317<br>Longitude: 144.9892829<br>Latitude: -37.819317<br>Longitude: 144.9892829<br>﻿UsageType: Disable Parking,-37.819317,144.989283
Turner Street between Salmon Street and Douglas Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8239082<br>Longitude: 144.9223563<br>Latitude: -37.8239082<br>Longitude: 144.9223563<br>﻿UsageType: Disable Parking,-37.823908,144.922356
Toorak Road between Marne Street and Walsh Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8381539<br>Longitude: 144.9845023<br>Latitude: -37.8381539<br>Longitude: 144.9845023<br>﻿UsageType: Disable Parking,-37.838154,144.984502
Toorak Road between Marne Street and Walsh Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8381447<br>Longitude: 144.9844287<br>Latitude: -37.8381447<br>Longitude: 144.9844287<br>﻿UsageType: Disable Parking,-37.838145,144.984429
Toorak Road between Domain Street and Hope Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8372634<br>Longitude: 144.9787608<br>Latitude: -37.8372634<br>Longitude: 144.9787608<br>﻿UsageType: Disable Parking,-37.837263,144.978761
Therry Street between Victoria Street and Elizabeth Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.806843<br>Longitude: 144.9606575<br>Latitude: -37.806843<br>Longitude: 144.9606575<br>﻿UsageType: Disable Parking,-37.806843,144.960658
Therry Street between Victoria Street and Elizabeth Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.806824<br>Longitude: 144.9607218<br>Latitude: -37.806824<br>Longitude: 144.9607218<br>﻿UsageType: Disable Parking,-37.806824,144.960722
Therry Street between Victoria Street and Elizabeth Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.806805<br>Longitude: 144.9607861<br>Latitude: -37.806805<br>Longitude: 144.9607861<br>﻿UsageType: Disable Parking,-37.806805,144.960786
Therry Street between Victoria Street and Elizabeth Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8067854<br>Longitude: 144.9608525<br>Latitude: -37.8067854<br>Longitude: 144.9608525<br>﻿UsageType: Disable Parking,-37.806785,144.960852
Therry Street between Victoria Street and Elizabeth Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.806765<br>Longitude: 144.9609216<br>Latitude: -37.806765<br>Longitude: 144.9609216<br>﻿UsageType: Disable Parking,-37.806765,144.960922
Therry Street between Elizabeth Street and Queen Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8075137<br>Longitude: 144.9583353<br>Latitude: -37.8075137<br>Longitude: 144.9583353<br>﻿UsageType: Disable Parking,-37.807514,144.958335
Therry Street between Elizabeth Street and Queen Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8074889<br>Longitude: 144.9584206<br>Latitude: -37.8074889<br>Longitude: 144.9584206<br>﻿UsageType: Disable Parking,-37.807489,144.958421
Therry Street between Elizabeth Street and Queen Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8074702<br>Longitude: 144.9584845<br>Latitude: -37.8074702<br>Longitude: 144.9584845<br>﻿UsageType: Disable Parking,-37.80747,144.958484
The Avenue between Ievers Street and Park Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7811119<br>Longitude: 144.9576463<br>Latitude: -37.7811119<br>Longitude: 144.9576463<br>﻿UsageType: Disable Parking,-37.781112,144.957646
Tennyson Street between Derby Street and Altona Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7991025<br>Longitude: 144.9280635<br>Latitude: -37.7991025<br>Longitude: 144.9280635<br>﻿UsageType: Disable Parking,-37.799102,144.928064
Swanston Street between Victoria Street and Queensberry Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8063362<br>Longitude: 144.9628613<br>Latitude: -37.8063362<br>Longitude: 144.9628613<br>﻿UsageType: Disable Parking,-37.806336,144.962861
Swanston Street between Queensberry Street and Lincoln Square South,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8039404<br>Longitude: 144.9634634<br>Latitude: -37.8039404<br>Longitude: 144.9634634<br>﻿UsageType: Disable Parking,-37.80394,144.963463
