bay_id,category,roadsegmentid,parkingzone,street,notes,recovery_method,recovery_distance_m,matched_segment_id,ref_bay_id,recovery_typedesc_slots,manual_review,manual_review_reason
18113,A,,,,kerbside not in static parking_bays export,nearest_reference_bay_rejected,194.89,,,,,
18555,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,6.61,22819,18554,1,,
18556,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,12.51,22819,18554,1,,
18557,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,11.05,22819,18559,1,,
18558,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,5.13,22819,18559,1,,
21528,C,22202,,Intersection of Bromby Street and Adams Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,18.06,22201,21527,,,
21529,C,22202,,Intersection of Bromby Street and Adams Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,24.12,22201,21527,,,
21530,C,22202,,Intersection of Bromby Street and Adams Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,30.18,22201,21527,,,
22772,C,22079,,Southbank Boulevard between Sturt Street and Moore Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,72.98,22070,71854,,,
22773,C,22079,,Southbank Boulevard between Sturt Street and Moore Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,70.16,22070,71829,,,
22774,C,22079,,Southbank Boulevard between Sturt Street and Moore Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,67.59,22070,71831,,,
22775,C,22079,,Southbank Boulevard between Sturt Street and Moore Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,65.46,22070,71831,,,
22776,C,22079,,Southbank Boulevard between Sturt Street and Moore Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,63.89,22070,71831,,,
24473,C,22659,,Peel Street between Dudley Street and Victoria Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,72.26,21404,11144,,,
24942,C,20214,,Flinders Street between Swanston Street and Elizabeth Street,roadsegmentid not matched to zones_to_segments / bay_zones,nearest_segment_rejected,123.35,,,,,
25065,C,21943,,Intersection of Clarendon Street and George Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,30.36,21937,25064,,,
25101,C,21894,,Intersection of Clarendon Street and Gipps Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,50.77,21902,25100,,,
25102,C,21894,,Intersection of Clarendon Street and Gipps Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,56.56,21902,25100,,,
51310,C,20144,,Exhibition Street between Lonsdale Street and Little Lonsdale Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,59.29,20036,65951,,,
51311,C,20144,,Exhibition Street between Lonsdale Street and Little Lonsdale Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,54.96,20036,65951,,,
51312,C,20144,,Exhibition Street between Lonsdale Street and Little Lonsdale Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,50.95,20036,65951,,,
51313,C,20144,,Exhibition Street between Lonsdale Street and Little Lonsdale Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,57.92,20036,65951,,,
51314,C,20144,,Exhibition Street between Lonsdale Street and Little Lonsdale Street,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,55.74,20036,65951,,,
53215,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,5.06,20167,53214,3,,
53216,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,11.22,20167,53214,3,,
53223,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,4.62,20167,53222,3,,
53226,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,4.92,20167,53225,3,,
53227,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,10.87,20167,53225,3,,
53228,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,16.56,20167,53225,3,,
55516,A,,,,kerbside not in static parking_bays export,nearest_on_network_bay_parkingzone,33.86,20181,55524,3,,
57942,C,20068,,Intersection of Spencer Street and Flinders Lane,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,23.31,20067,57941,,,
57943,C,20068,,Intersection of Spencer Street and Flinders Lane,roadsegmentid not matched to zones_to_segments / bay_zones,c_recovery_rejected_cross_street,29.28,20067,57941,,,
