bay_id,slot,type_desc,category,from_day,to_day,from_day_name,to_day_name,days_human,start_time_human,end_time_human,duration_mins,duration_human,disability_ext_mins,disability_ext_human,effective_on_ph,exemption,plain_english,active_now
4041,1,4P Meter,timed_paid,1,5,Monday,Friday,Monday to Friday,7:30am,6:30pm,240,4 hours,480,8 hours,False,,Park for up to 4 hours on Monday to Friday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 8 hours. Free to park outside these hours.,True
4041,2,4P Meter,timed_paid,6,6,Saturday,Saturday,Saturdays only,7:30am,12:30pm,240,4 hours,480,8 hours,False,,Park for up to 4 hours on Saturdays only between 7:30am to 12:30pm. Pay at the meter. Disability permit holders may stay up to 8 hours. Free to park outside these hours.,False
3042,1,1/2P,timed_free,1,0,Monday,Sunday,Monday to Sunday,7:30am,11pm,30,30 minutes,60,1 hour,False,,Park for up to 30 minutes on Monday to Sunday between 7:30am to 11pm. No payment required. Disability permit holders may stay up to 1 hour. Free to park outside these hours.,True
5316,1,2P Meter,timed_paid,1,5,Monday,Friday,Monday to Friday,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Friday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,True
5316,2,2P Meter,timed_paid,6,6,Saturday,Saturday,Saturdays only,7:30am,12:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Saturdays only between 7:30am to 12:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,False
8470,1,2P,timed_free,1,0,Monday,Sunday,Monday to Sunday,7:30am,11pm,120,2 hours,240,4 hours,True,Resident Permit Area 1B,Park for up to 2 hours on Monday to Sunday between 7:30am to 11pm. No payment required. Disability permit holders may stay up to 4 hours. Exempt: Resident Permit Area 1B. Free to park outside these hours. Also applies on public holidays.,True
3543,1,4P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,11:59pm,240,4 hours,0,,False,Disabled Logo,Disability permit holders only — max stay 4 hours. Applies Monday to Sunday 12am to 11:59pm.,True
1539,1,1P Meter,timed_paid,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,60,1 hour,120,2 hours,False,,Park for up to 1 hour on Monday to Saturday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 2 hours. Free to park outside these hours.,True
1539,2,2P,timed_free,1,6,Monday,Saturday,Monday to Saturday,6:30pm,8:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Saturday between 6:30pm to 8:30pm. No payment required. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,False
1539,3,1P,timed_free,0,0,Sunday,Sunday,Sundays only,7:30am,6:30pm,60,1 hour,120,2 hours,False,,Park for up to 1 hour on Sundays only between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 2 hours. Free to park outside these hours.,False
5723,1,2P Meter,timed_paid,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Saturday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,True
5723,2,2P,timed_free,0,0,Sunday,Sunday,Sundays only,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Sundays only between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,False
5575,1,2P Meter,timed_paid,1,5,Monday,Friday,Monday to Friday,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Friday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,True
5575,2,2P Meter,timed_paid,6,6,Saturday,Saturday,Saturdays only,7:30am,12:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Saturdays only between 7:30am to 12:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,False
2199,1,2P Meter,timed_paid,1,6,Monday,Saturday,Monday to Saturday,7:30pm,8:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Saturday between 7:30pm to 8:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,False
