RoadSegmentID,KerbsideID,RoadSegmentDescription,Latitude,Longitude,LastUpdated,Location
22752,,Pasley Street between Pasley Street North and Pasley Street South,-37.841878,144.9845868,2023-10-31,"-37.841878, 144.9845868"
22752,,Pasley Street between Pasley Street North and Pasley Street South,-37.842358,144.984486,2023-10-31,"-37.842358, 144.984486"
22824,,Grant Street between Wells Street and Dodds Street,-37.8254756,144.9688492,2024-04-23,"-37.8254756, 144.9688492"
22824,,Grant Street between Wells Street and Dodds Street,-37.8255159,144.9687112,2024-04-23,"-37.8255159, 144.9687112"
22824,,Grant Street between Wells Street and Dodds Street,-37.825524,144.9686835,2024-04-23,"-37.825524, 144.9686835"
22826,,Grant Street between Dodds Street and Sturt Street,-37.8258795,144.9674881,2024-03-25,"-37.8258795, 144.9674881"
22082,78138,Grant Street between St Kilda Road and Wells Street,-37.8252538,144.9696174,2024-05-06,"-37.8252538, 144.9696174"
20394,53817,Bond Street between Flinders Street and Flinders Lane,-37.8180751,144.9627638,2023-10-31,"-37.8180751, 144.9627638"
20925,,Queensberry Street between Cobden Street and Peel Street,-37.8037507,144.9568454,2023-10-31,"-37.8037507, 144.9568454"
20925,,Queensberry Street between Cobden Street and Peel Street,-37.8039593,144.9570465,2023-10-31,"-37.8039593, 144.9570465"
20923,,Queensberry Street between Elizabeth Street and O'Connell Street,-37.8040439,144.9578007,2023-10-31,"-37.8040439, 144.9578007"
20923,,Queensberry Street between Elizabeth Street and O'Connell Street,-37.8040543,144.9578959,2023-10-31,"-37.8040543, 144.9578959"
20246,,Throssell Lane between Spring Street and Flinders Lane,-37.8149151,144.9742727,2023-10-31,"-37.8149151, 144.9742727"
21733,,Tennyson Street between Derby Street and Altona Street,-37.7988553,144.9284866,2023-10-31,"-37.7988553, 144.9284866"
21733,,Tennyson Street between Derby Street and Altona Street,-37.7990128,144.9283821,2023-10-31,"-37.7990128, 144.9283821"
21733,,Tennyson Street between Derby Street and Altona Street,-37.7991433,144.928159,2023-10-31,"-37.7991433, 144.928159"
21733,,Tennyson Street between Derby Street and Altona Street,-37.7992736,144.9279359,2023-10-31,"-37.7992736, 144.9279359"
22462,,Dodds Street between Miles Street and Grant Street,-37.8280631,144.9673856,2024-04-29,"-37.8280631, 144.9673856"
22462,,Dodds Street between Miles Street and Grant Street,-37.8275381,144.9674246,2024-04-29,"-37.8275381, 144.9674246"
20186,,William Street between Lonsdale Street and Little Lonsdale Street,-37.8134896,144.9571263,2023-10-31,"-37.8134896, 144.9571263"
21229,,Carroll Street between Canning Street and Erskine Street,-37.7952627,144.9459232,2023-10-31,"-37.7952627, 144.9459232"
21266,,Macaulay Road between Albermarle Street and Eastwood Street,-37.7947445,144.9333965,2023-10-31,"-37.7947445, 144.9333965"
22136,,Ingles Street between Turner Street and Lorimer Street,-37.8236426,144.9345456,2023-10-31,"-37.8236426, 144.9345456"
22630,,Wellington Parade South between Wellington Crescent and Flinders Street,-37.8158769,144.9743199,2023-10-31,"-37.8158769, 144.9743199"
21227,,Erskine Street between Dryburgh Street and Melrose Street,-37.7945018,144.9426045,2023-10-31,"-37.7945018, 144.9426045"
22478,,St Kilda Road between Moubray Street and High Street,-37.8485865,144.9801539,2023-10-31,"-37.8485865, 144.9801539"
22965,,Bellair Street between Macaulay Road and Wight Street,-37.7937172,144.9303124,2023-10-31,"-37.7937172, 144.9303124"
22117,79057,Coventry Street between Dodds Street and Sturt Street,-37.8302155,144.9660161,2024-05-06,"-37.8302155, 144.9660161"
22112,,Coventry Street between Wells Street and Dodds Street,-37.8297072,144.9673463,2024-04-29,"-37.8297072, 144.9673463"
22112,,Coventry Street between Wells Street and Dodds Street,-37.8295769,144.9677947,2024-04-29,"-37.8295769, 144.9677947"
22112,,Coventry Street between Wells Street and Dodds Street,-37.8293803,144.96847,2024-04-29,"-37.8293803, 144.96847"
22112,78958,Coventry Street between Wells Street and Dodds Street,-37.829458,144.9686385,2024-05-06,"-37.829458, 144.9686385"
22223,,Domain Road between Dallas Brooks Drive and Domain Street,-37.8334853,144.9779854,2023-10-31,"-37.8334853, 144.9779854"
22224,,Intersection of Domain Road and Domain Street,-37.8336087,144.9789359,2023-10-31,"-37.8336087, 144.9789359"
30884,,South Wharf Drive,-37.8232342,144.9404646,2023-10-31,"-37.8232342, 144.9404646"
22010,,Haig Street between Clarendon Street and Westgate Freeway,-37.826968,144.9573229,2024-05-22,"-37.826968, 144.9573229"
22010,75275,Haig Street between Clarendon Street and Westgate Freeway,-37.8277897,144.956355,2024-05-22,"-37.8277897, 144.956355"
22008,,Whiteman Street between Westgate Freeway and Clarendon Street,-37.827947,144.9550937,2024-06-21,"-37.827947, 144.9550937"
22308,13146,Commercial Road between St Kilda Road and Punt Road,-37.844874,144.9796803,2023-10-31,"-37.844874, 144.9796803"
22308,13147,Commercial Road between St Kilda Road and Punt Road,-37.8448821,144.979742,2023-10-31,"-37.8448821, 144.979742"
22308,22435,Commercial Road between St Kilda Road and Punt Road,-37.8451691,144.9805082,2023-10-31,"-37.8451691, 144.9805082"
21198,,Errol Street between Chapman Street and Harker Street,-37.7973788,144.9505148,2023-10-31,"-37.7973788, 144.9505148"
21347,,Intersection of Miller Street and Curzon Street,-37.805985,144.9475173,2023-10-31,"-37.805985, 144.9475173"
21384,,William Street between Rosslyn Street and Victoria Street,-37.8060986,144.9537169,2023-10-31,"-37.8060986, 144.9537169"
22118,76052,Sturt Street between Miles Street and Coventry Street,-37.828637,144.9658909,2024-05-06,"-37.828637, 144.9658909"
